"child","value","parent"
"circumfrances lights",1,"lightform"
"cirle lights",1,"lightform"
"class lights",1,"lightform"
"clean light",1,"lightform"
"clearence lights",1,"lightform"
"climbing light",1,"lightform"
"cloaked lights",1,"lightform"
"cloud light",1,"lightform"
"clouds.the light",1,"lightform"
"cluster lights",1,"lightform"
"coded lights",1,"lightform"
"cohesive lights",1,"lightform"
"colerd light",1,"lightform"
"colerd lights",1,"lightform"
"colered light",1,"lightform"
"colered lights",1,"lightform"
"colision lights",1,"lightform"
"collored lights",1,"lightform"
"colorchangin light",1,"lightform"
"coloreds lights",1,"lightform"
"coloured light",1,"lightform"
"coloured lights",1,"lightform"
"combined lights",1,"lightform"
"companion light",1,"lightform"
"companion lights",1,"lightform"
"complex light",1,"lightform"
"concentrated lights",1,"lightform"
"condensed light",1,"lightform"
"configuration lights",1,"lightform"
"conical light",1,"lightform"
"connecticut light",1,"lightform"
"consitant light",1,"lightform"
"conspicuous lights",1,"lightform"
"constant.the lights",1,"lightform"
"constatnt lights",1,"lightform"
"contained light",1,"lightform"
"continuous light",1,"lightform"
"controlled light",1,"lightform"
"copper light",1,"lightform"
"copper lights",1,"lightform"
"core light",1,"lightform"
"corners lights",1,"lightform"
"correcting lights",1,"lightform"
"county light",1,"lightform"
"crafts light",1,"lightform"
"crafts lights",1,"lightform"
"cream light",1,"lightform"
"creating light",1,"lightform"
"crescent light",1,"lightform"
"crescent lights",1,"lightform"
"cresent light",1,"lightform"
"crimson light",1,"lightform"
"crisp light",1,"lightform"
"crossbuck lights",1,"lightform"
"crossing lights",1,"lightform"
"cruces lights",1,"lightform"
"crystalline light",1,"lightform"
"curcular light",1,"lightform"
"curious lights",1,"lightform"
"cycling lights",1,"lightform"
"cylindrical light",1,"lightform"
"dacing lights",1,"lightform"
"dark lights",1,"lightform"
"dashboard lights",1,"lightform"
"dashes lights",1,"lightform"
"daylight lights",1,"lightform"
"daytime light",1,"lightform"
"daytime lights",1,"lightform"
"dazzling light",1,"lightform"
"dazzling lights",1,"lightform"
"deck light",1,"lightform"
"defracting lights",1,"lightform"
"density light",1,"lightform"
"descending light",1,"lightform"
"descending lights",1,"lightform"
"diagonal lights",1,"lightform"
"differant lights",1,"lightform"
"diffrent lights",1,"lightform"
"difused light",1,"lightform"
"dimmed light",1,"lightform"
"dimming lights",1,"lightform"
"dimmish lights",1,"lightform"
"dimond light",1,"lightform"
"dimond lights",1,"lightform"
"din lights",1,"lightform"
"directed light",1,"lightform"
"directions light",1,"lightform"
"disapearing light",1,"lightform"
"disapparing lights",1,"lightform"
"disc lights",1,"lightform"
"disintegrating light",1,"lightform"
"display light",1,"lightform"
"disseappearing lights",1,"lightform"
"distinguishable lights",1,"lightform"
"distorted lights",1,"lightform"
"ditinct light",1,"lightform"
"dividing lights",1,"lightform"
"diving light",1,"lightform"
"dogfighting lights",1,"lightform"
"dome lights",1,"lightform"
"dominant lights",1,"lightform"
"dot light",1,"lightform"
"dotted lights",1,"lightform"
"double light",1,"lightform"
"double lights",1,"lightform"
"downtown light",1,"lightform"
"dozen lights",1,"lightform"
"dozon lights",1,"lightform"
"dripping light",1,"lightform"
"driving lights",1,"lightform"
"drop lights",1,"lightform"
"dropping lights",1,"lightform"
"duplicating lights",1,"lightform"
"dwelling lights",1,"lightform"
"earthquake light",1,"lightform"
"eastward light",1,"lightform"
"effect lights",1,"lightform"
"egg lights",1,"lightform"
"electrical light",1,"lightform"
"elongated lights",1,"lightform"
"eluminating light",1,"lightform"
"emanated light",1,"lightform"
"emanates light",1,"lightform"
"emeraldgreen light",1,"lightform"
"emergency light",1,"lightform"
"emited light",1,"lightform"
"emiting light",1,"lightform"
"emits lights",1,"lightform"
"emitting lights",1,"lightform"
"emmiting light",1,"lightform"
"emmitting light",1,"lightform"
"enormous light",1,"lightform"
"enormous lights",1,"lightform"
"eratic lights",1,"lightform"
"ese lights",1,"lightform"
"estrange light",1,"lightform"
"eve lights",1,"lightform"
"evening light",1,"lightform"
"explainable lights",1,"lightform"
"explosions light",1,"lightform"
"explosive light",1,"lightform"
"expressway lights",1,"lightform"
"extinguish light",1,"lightform"
"eye lights",1,"lightform"
"faceted lights",1,"lightform"
"facing light",1,"lightform"
"fadeing light",1,"lightform"
"fainter lights",1,"lightform"
"fanning light",1,"lightform"
"fascinating lights",1,"lightform"
"feet light",1,"lightform"
"ferriswheel lights",1,"lightform"
"ffa lights",1,"lightform"
"fient light",1,"lightform"
"fifteen lights",1,"lightform"
"fighting lights",1,"lightform"
"filtered lights",1,"lightform"
"firealls light",1,"lightform"
"firelike light",1,"lightform"
"firely light",1,"lightform"
"firery lights",1,"lightform"
"firetruck lights",1,"lightform"
"fireworks lights",1,"lightform"
"firing light",1,"lightform"
"fixed lights",1,"lightform"
"flahing light",1,"lightform"
"flahsing lights",1,"lightform"
"flame lights",1,"lightform"
"flameing lights",1,"lightform"
"flare lights",1,"lightform"
"flaring light",1,"lightform"
"flaring lights",1,"lightform"
